이름,위치,기간,Badminton Total,Direction,Rally,Result,Technics,점수,패턴코트위치,뒷사각
3set (6),2984233,11200,0:0,,3set,Away Successful Lose,,0:0,3A;3B;5A,뒤사이드
3set (7),3009633,42133,0:0,,3set,Away Successful Lose,,0:0,2A;4B;5A,뒤사이드
3set (8),3099433,18133,0:0,,3set,Successful Win,,0:0,2B;2A;1B,
3set (9),3140700,5333,0:0,,3set,Away Successful Lose,,0:0,8A;2B;3A,사이드뒤
3set (10),3166733,10300,0:0,Left,3set,Mistake Lose,Smash,0:0,,
3set (11),3193566,18533,0:0,,3set,Away Mistake Win,,0:0,,
3set (12),3239133,7733,0:0,,3set,Away Successful Lose,,0:0,3B;1A,앞사이드
3set (13),3289533,5166,0:0,,3set,Away Successful Lose,,0:0,3A;2B;2A,뒤앞
3set (14),3316366,14733,0:0,,3set,Away Mistake Win,,0:0,,
3set (15),3352233,12400,0:0,,3set,Away Mistake Win,,0:0,,
3set (16),3384900,8133,0:0,,3set,Away Mistake Win,,0:0,,
3set (17),3421233,21333,0:0,,3set,Successful Win,,0:0,1B;3A;6B,
3set (18),3496966,6766,0:0,,3set,Away Successful Lose,,0:0,4B;2A,앞사이드
3set (19),3582233,10933,0:0,Right,3set,Mistake Lose,Clear,0:0,,
3set (20),3605966,4866,0:0,,3set,Away Successful Lose,,0:0,,
3set (21),3628233,11533,0:0,,3set,Successful Win,,0:0,2B;4A;5B,
3set (22),3721166,18400,0:0,Left,3set,Mistake Lose,Hairpin,0:0,,
3set (23),3766033,5400,0:0,Right,3set,Mistake Lose,Smash,0:0,,
3set (24),3783033,14466,0:0,Right,3set,Mistake Lose,Return,0:0,,
3set (25),3817166,4466,0:0,Left,3set,Mistake Lose,숏서브 리시브,0:0,,
3set (26),3835100,7266,0:0,,3set,Successful Win,,0:0,3B;3A;5B,
3set (27),3857900,11600,0:0,Left,3set,Mistake Lose,Drop,0:0,,
3set (28),3893300,12466,0:0,,3set,Away Mistake Win,,0:0,,
3set (29),3921100,30600,0:0,Left,3set,Mistake Lose,Clear,0:0,,
3set (30),4010233,25466,0:0,Left,3set,Mistake Lose,Clear,0:0,,
3set (31),4058033,11600,0:0,,3set,Successful Win,,0:0,3A;1B,
3set (32),4092900,5066,0:0,,3set,Away Successful Lose,,0:0,8A;1B;1A,사이드앞
3set (33),4114633,19266,0:0,,3set,Away Successful Lose,,0:0,3A;4B;4A,뒤뒤
3set (34),4154100,27266,0:0,Left,3set,Mistake Lose,Smash,0:0,,
3set (35),4203966,8266,0:0,,3set,Successful Win,,0:0,1B;3A;5B,
3set (36),4242633,5800,0:0,,3set,Successful Win,,0:0,2B;4A;8B,
3set (37),4264433,8066,0:0,,3set,Successful Win,,0:0,5B;2A;3B,
3set (38),4285966,14666,0:0,,3set,Successful Win,,0:0,5B;2A;4B,
3set (39),4324700,4333,0:0,,3set,Away Successful Lose,,0:0,8A;1B;1A,사이드앞
